name, desc, gmina, powiat, wojew
Batorówko,wieś,Lipka,złotowski,wielkopolskie
Batowice,wieś,Zielonki,krakowski,małopolskie
Batylowa,część wsi Pleśna,Pleśna,tarnowski,małopolskie
Bawoły,część wsi Laszki,Laszki,jarosławski,podkarpackie
Bazar,osada,Szelków,makowski,mazowieckie
Bazary,część wsi Trześń,Gorzyce,tarnobrzeski,podkarpackie
Bazówka,część wsi Białawoda,Łososina Dolna,nowosądecki,małopolskie
Bazylia,część miasta Zgierz,Zgierz m,zgierski,łódzkie
Bażanówka,wieś,Zarszyn,sanocki,podkarpackie
Bażantarnia,część wsi Ujkowice,Przemyśl,przemyski,podkarpackie
Bażany,wieś,Kluczbork,kluczborski,opolskie
Bąbnica,część wsi Pieski,Cewice,lęborski,pomorskie
Bącka Huta,osada leśna,Sierakowice,kartuski,pomorskie
Bączal Dolny,wieś,Skołyszyn,jasielski,podkarpackie
Bączki,wieś,Maciejowice,garwoliński,mazowieckie
Bączylas,wieś,Poniec,gostyński,wielkopolskie
Bądkowo,wieś,Bądkowo,aleksandrowski,kujawsko-pomorskie
Bądkowo-Podlasie,wieś,Brudzeń Duży,płocki,mazowieckie
Bądków Drugi,wieś,Przykona,turecki,wielkopolskie
Bądze,wieś,Stary Dzierzgoń,sztumski,pomorskie
